source_id,source_type,relation,target_id,target_type,repo,metadata
github:mdvacca,AUTHOR,authored_commit,320e3bd84e352dfb919eecb7a420764d1042c9f8,COMMIT,facebook/react-native,
github:leotm,AUTHOR,authored_commit,faeef2b90a56633ad44289b994d31e7ce590b145,COMMIT,facebook/react-native,
github:robhogan,AUTHOR,authored_commit,1e0c1f886ba9de7541eeb753091715011c515c00,COMMIT,facebook/react-native,
github:chrfalch,AUTHOR,authored_commit,d21ffc9e322060c354b78da84d590cfc337c1de8,COMMIT,facebook/react-native,
github:zeyap,AUTHOR,authored_commit,d17ecca3c90c4ddd3922e3661ece03ac2433fcff,COMMIT,facebook/react-native,
github:zoontek,AUTHOR,authored_commit,a3576765c5132cc1bbd6a27422096efa2341220f,COMMIT,facebook/react-native,
email:5c7d4dd99769089cdada749957fe6840f43228b2e1eef57cc3332cf1af25f450,AUTHOR,authored_commit,bbf7004935ec3ed25e0270c60889f118ba170495,COMMIT,facebook/react-native,
github:abbondanzo,AUTHOR,authored_commit,1fdd16710900f00648332cce8b3cd63bc6208329,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,7ee5275d96914a3e5f66178904d19570c20e3c7b,COMMIT,facebook/react-native,
github:alanleedev,AUTHOR,authored_commit,c3887545ff7f81456b6109d1533c6073e256724c,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,25ef8444efd2a9a70f0a2136df4b9be6ae986c43,COMMIT,facebook/react-native,
github:react-native-bot,AUTHOR,authored_commit,7ece7bd3a8245580013eb5d32b9bd9cb833cdb5b,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,90e02fa2556ace1458aad6c847e59108303949df,COMMIT,facebook/react-native,
github:huntie,AUTHOR,authored_commit,e0d1e29d266ff12d013af18873d9947665265433,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,b7aa3900f9d2040007a54fb66e243dcab14f3756,COMMIT,facebook/react-native,
github:abbondanzo,AUTHOR,authored_commit,941ace9908d3cadf764412cf934bc65c06b56f95,COMMIT,facebook/react-native,
email:20eded9b1b07623eb7adfb1a52bb567fe9dde9aa7ae0b69abe7c650265ef0e64,AUTHOR,authored_commit,0f337f95c67ab993307b2057355e7fc6df84ea08,COMMIT,facebook/react-native,
github:intergalacticspacehighway,AUTHOR,authored_commit,fe046dc7822761322a2eea1bf0ba8a000a4ae8cc,COMMIT,facebook/react-native,
github:alanleedev,AUTHOR,authored_commit,540120a5274b758358cc7fe4d25a373b9a22bf2e,COMMIT,facebook/react-native,
github:sbuggay,AUTHOR,authored_commit,0f92aa621382bbea5d4d8a9b7aaa6de67d6c7285,COMMIT,facebook/react-native,
github:sbuggay,AUTHOR,authored_commit,bea42e5ed90951dc6986bf55ac88c7a2b7aa8720,COMMIT,facebook/react-native,
email:5c7d4dd99769089cdada749957fe6840f43228b2e1eef57cc3332cf1af25f450,AUTHOR,authored_commit,42d98b58302dafb484a494ab4fc199f88f215c1d,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,0b1ce70b62ec15bc6a3590f100600afd83668f74,COMMIT,facebook/react-native,
